type,brand,model,name,price_new,price_refurb,co2_new,co2_refurb,lifespan_new,lifespan_refurb,power_on,power_standby,source_co2
screen,Dell,U2722D,Dell UltraSharp 27" 4K,599,280,350,35,72,60,0.16,0.005,ADEME Base Empreinte
screen,Dell,P2423D,Dell Professional 24" QHD,349,160,280,28,72,60,0.12,0.004,ADEME Base Empreinte
screen,Dell,P2723QE,Dell 27" 4K USB-C Hub,579,270,340,34,72,60,0.15,0.005,ADEME Base Empreinte
screen,Dell,S2722QC,Dell 27" 4K USB-C,449,210,320,32,72,60,0.14,0.005,ADEME Base Empreinte
screen,Dell,U3223QE,Dell UltraSharp 32" 4K,899,420,420,42,72,60,0.22,0.006,ADEME Base Empreinte
screen,HP,E27m G4,HP E27m 27" QHD,429,200,290,29,72,60,0.13,0.004,ADEME Base Empreinte
screen,HP,Z27k G3,HP Z27k 27" 4K USB-C,599,280,350,35,72,60,0.16,0.005,ADEME Base Empreinte
screen,LG,27UK850-W,LG 27" 4K UHD IPS,449,210,330,33,72,60,0.15,0.005,ADEME Base Empreinte
screen,Samsung,S27R650,Samsung 27" Business,319,150,270,27,72,60,0.11,0.004,ADEME Base Empreinte
screen,Philips,272E1SA,Philips 27" Full HD,189,90,220,22,60,48,0.10,0.003,ADEME Base Empreinte
smartphone,Apple,iPhone 15 Pro,Apple iPhone 15 Pro,1229,750,80,8,48,36,0.005,0.001,ADEME 2024
smartphone,Apple,iPhone 15,Apple iPhone 15,969,590,75,7.5,48,36,0.005,0.001,ADEME 2024
smartphone,Apple,iPhone 14,Apple iPhone 14,869,520,72,7.2,48,36,0.005,0.001,ADEME 2024
smartphone,Apple,iPhone SE,Apple iPhone SE 2022,529,320,57,5.7,48,36,0.004,0.001,ADEME 2024
smartphone,Samsung,Galaxy S24 Ultra,Samsung Galaxy S24 Ultra,1469,880,85,8.5,48,36,0.006,0.001,ADEME 2024
smartphone,Samsung,Galaxy S24,Samsung Galaxy S24,899,540,78,7.8,48,36,0.005,0.001,ADEME 2024
smartphone,Samsung,Galaxy A54,Samsung Galaxy A54 5G,499,300,65,6.5,48,36,0.005,0.001,ADEME 2024
smartphone,Google,Pixel 8 Pro,Google Pixel 8 Pro,1099,660,79,7.9,48,36,0.005,0.001,ADEME 2024
smartphone,Google,Pixel 8,Google Pixel 8,799,480,74,7.4,48,36,0.005,0.001,ADEME 2024
smartphone,Fairphone,Fairphone 5,Fairphone 5 (modulaire),699,450,45,4.5,60,48,0.005,0.001,Fairphone LCA
tablet,Apple,iPad Pro 12.9,Apple iPad Pro 12.9" M2,1329,800,110,11,60,48,0.015,0.003,ADEME Base Empreinte
tablet,Apple,iPad Pro 11,Apple iPad Pro 11" M2,1029,620,95,9.5,60,48,0.012,0.002,ADEME Base Empreinte
tablet,Apple,iPad Air,Apple iPad Air M1,769,460,78,7.8,60,48,0.010,0.002,ADEME Base Empreinte
tablet,Apple,iPad 10,Apple iPad 10ème gen,589,350,63,6.3,60,48,0.008,0.002,ADEME Base Empreinte
tablet,Samsung,Galaxy Tab S9 Ultra,Samsung Galaxy Tab S9 Ultra,1279,770,105,10.5,60,48,0.014,0.003,ADEME Base Empreinte
tablet,Samsung,Galaxy Tab S9,Samsung Galaxy Tab S9,949,570,88,8.8,60,48,0.011,0.002,ADEME Base Empreinte
tablet,Samsung,Galaxy Tab A9+,Samsung Galaxy Tab A9+,299,180,52,5.2,48,36,0.007,0.002,ADEME Base Empreinte
tablet,Microsoft,Surface Pro 9,Microsoft Surface Pro 9,1149,690,120,12,60,48,0.015,0.003,ADEME Base Empreinte
tablet,Lenovo,Tab P12 Pro,Lenovo Tab P12 Pro,749,450,85,8.5,60,48,0.012,0.002,ADEME Base Empreinte
switch_router,Cisco,C9200L-24P,Cisco Catalyst 9200L 24 ports PoE+,2890,1200,95,9.5,72,60,0.045,0.020,Boavizta
switch_router,Cisco,C9200L-48P,Cisco Catalyst 9200L 48 ports PoE+,4590,1900,125,12.5,72,60,0.065,0.025,Boavizta
switch_router,Cisco,CBS350-24T,Cisco Business 350 24 ports,599,280,55,5.5,72,60,0.018,0.008,Boavizta
switch_router,Cisco,CBS350-48T,Cisco Business 350 48 ports,899,420,72,7.2,72,60,0.028,0.012,Boavizta
switch_router,HP,Aruba 2930F-24G,HPE Aruba 2930F 24G PoE+,1890,780,85,8.5,72,60,0.038,0.015,Boavizta
switch_router,HP,Aruba 2930F-48G,HPE Aruba 2930F 48G PoE+,2890,1200,110,11,72,60,0.055,0.022,Boavizta
switch_router,Netgear,GS324TP,Netgear 24 ports PoE+ Smart,449,210,48,4.8,72,60,0.022,0.010,Boavizta
switch_router,Ubiquiti,USW-Pro-24-POE,Ubiquiti UniFi Pro 24 PoE,699,330,52,5.2,72,60,0.025,0.010,Boavizta
